"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"p1_2",0.00291810843231857,9.98236632494854e-07,0.000377044405314146,0.00223912370457328,0.002654152337429,0.00289730864173861,0.00315836890681695,0.00371640017471665,142665.182259337,1.00001094919398
"p1_3",0.00232461157507928,9.08400602769948e-07,0.000332130984154517,0.00170623276336908,0.00209533996081503,0.00231293077608056,0.00254078510741446,0.00300905329126031,133679.236759087,1.00000526378732
"p2_1",0.00662360492828588,1.95338267363405e-06,0.000766381524841115,0.00519381686150153,0.00609489142904883,0.00660004149143367,0.0071239291265864,0.00819398529350924,153927.207582568,1.00003471441007
"p2_2",0.00664879039510483,2.05117132194456e-06,0.000784077042064081,0.00523217701225364,0.00610412467672226,0.00660911411288182,0.00714841456173836,0.00829928181806925,146121.325744444,1.00002332181541
"p2_3",0.0090208382952084,2.60768819416152e-06,0.00124029734724781,0.00676177467795953,0.00815476689378794,0.0089621880435373,0.00982067341242542,0.0116134786194018,226224.849536472,0.999986778756094
"p3_1",0.00506548304186091,2.93159320130655e-07,0.000124341233494756,0.0048256419216351,0.00498109465805469,0.00506419857968167,0.00514910121734134,0.00531158410017344,179896.589917745,1.00002086691282
"p3_2",0.00435031853423523,2.9786464060531e-07,0.000115003699957361,0.00412802800423728,0.00427199349242637,0.00434915514714866,0.00442714593112318,0.00457925359406299,149068.445679388,1.00000262610666
"p3_3",0.00604541288408147,2.82204679043099e-07,0.000136459000407763,0.00578157114837781,0.00595276798241424,0.00604447444634402,0.00613648265660475,0.00631630339585902,233816.928337205,0.999989848761712
"p4_1",0.0159165657018675,2.07149129527242e-07,0.000111187545726172,0.0156990618971436,0.0158414707265634,0.0159163360519905,0.015991384299285,0.0161353403393538,288101.860410262,1.00000590813567
"p4_2",0.0142919913541869,2.34592565442347e-07,0.000105334293927603,0.0140864650034426,0.014220794901625,0.0142915592597402,0.0143627934832157,0.0144995423416274,201609.544161385,0.999992704334958
"p5_1",0.019254978400772,1.28744647769885e-05,0.00525572960168252,0.010649158384698,0.0154654631939929,0.0186909294396948,0.022422962612787,0.0310980984651773,166650.898699329,1.00000611813309
"p5_2",0.0123237790390378,8.70079084851745e-06,0.00352416330496517,0.00633120271296596,0.00981369684324287,0.0120223762470072,0.0145021085396456,0.0200677553523301,164056.934187709,1.00001493784874
"p5_3",0.0129280840885938,7.59668037277249e-06,0.00323482019433977,0.00730320230045902,0.0106416446169927,0.0126956314878464,0.0149500905468692,0.0199472406498118,181322.869484566,1.00000836573613
"p6_1",0.0136426208951884,1.29777724868289e-06,0.000490583724492117,0.0126977524655963,0.013308931335915,0.013637643763744,0.0139709768741504,0.0146191525763214,142897.937180278,1.00004404152056
"p6_2",0.00953562342112946,1.15417455285299e-06,0.000432222365602979,0.0087111764761643,0.00924025911836255,0.0095268160234748,0.00982294540566821,0.0104049979986561,140239.864132497,1.00002280718304
"p6_3",0.011818142981836,6.75766680423946e-07,0.000296878299409299,0.0112418153706888,0.0116179796589839,0.0118161377360738,0.012016806624749,0.0124055970523939,193002.688277681,0.999991630658945
"pi1_1",0.138506139510573,3.85490178193187e-05,0.017766964810107,0.105506907041497,0.12622410895445,0.137863182230362,0.150149990146261,0.175118867326199,212422.174290104,1.00002624676315
"pi1_2",0.115397433192576,3.7072010002455e-05,0.0140143522616154,0.0898525323139655,0.105618262470112,0.114730877105788,0.12441357524686,0.14476549448521,142907.095321641,1.000010911935
"pi1_3",0.0930355443374419,3.46564669318407e-05,0.0126621284618611,0.0692112942335542,0.0843275877224797,0.0926759434756219,0.101338434448972,0.118888202745147,133488.808908813,1.00000541639015
"pi2_1",0.130149157581972,3.59766935903704e-05,0.0140735012390021,0.103587313003544,0.120484738986139,0.129824426954413,0.139410737053396,0.158679460501767,153024.798630365,1.00003505102319
"pi2_2",0.130607173797489,3.75142532909948e-05,0.0143746195377395,0.104312920333705,0.120656305249195,0.129991303450556,0.139856312142265,0.160553190785033,146825.032201341,1.0000233738552
"pi2_3",0.173015249697869,4.55212400401205e-05,0.021660459690116,0.132794685656663,0.157980559509825,0.172258515830345,0.187186424441581,0.217538279385619,226416.029492521,0.999986678081014
"pi5_1",0.143365372635664,8.87837963189821e-05,0.0362872578095724,0.0820846755273406,0.117229840880912,0.140102857990623,0.165919565320153,0.223326538315192,167047.845317758,1.00000652007477
"pi5_2",0.0941192816076994,6.35274419886249e-05,0.0256931070765075,0.0495413659431369,0.0758652165188353,0.0922278210586336,0.11029589305357,0.149707424776708,163572.585014139,1.00001494720514
"pi5_3",0.0985937400366518,5.5259686617519e-05,0.0235121743645426,0.0569538046723626,0.0820289041219707,0.0971648292152667,0.113526242952283,0.148870494456324,181037.586924475,1.00000823017269
"RR_handwashing",0.969031797285255,0.000186803348657719,0.0457759448583057,0.89273014205242,0.947683886636592,0.965816564632471,0.984924641958997,1.06804262684857,60048.9365082437,1.00009471816414
"RR_masks",1.03926997341057,0.000788866312488854,0.180957384420436,0.750153724988921,0.964606765669538,1.03323104864256,1.09862343537551,1.36827434298302,52619.388846084,1.00007106752115
"a_new",-4.48517072384522,0.00229400656954347,0.965408945882578,-6.45963208156001,-5.04190527567286,-4.48130200306541,-3.92494433137693,-2.54119038205256,177106.019839165,0.999997677509151
"b_new",-0.0325891479352024,0.000286411214644225,0.105789547438118,-0.22809383267627,-0.0753344876473841,-0.0349854166679121,0.00537288799085285,0.183624044704581,136428.618153689,1.00000460989179
"predicted_mean[1]",0.0115832063961944,1.4886267653026e-05,0.00492865947039186,0.00494987775633584,0.00860596208423941,0.010774936838775,0.0134806379980753,0.0231183596325928,109619.036247506,1.00001974933646
